Name,Language,IMDb Rating,Running Time,Year of Release,Viewer_age,Type
Afsar,Punjabi,4.4,2 h 6 mins,2018,13+,Movie
Sethum Aayiram Pon,Tamil,7.2,1 h 38 min,2019,All,Movie
NTR: Kathanayakudu,Telugu,5.7,2 h 46 min,2019,All,Movie
Wonderland,English,None,1 h 44 min,2003,18+,Movie
Bahu Beti,Hindi,6.5,2 h 12 min,None,NR,Movie
The Lost World: Jurassic Park,English,6.6,2 h 8 min,1997,16+,Movie
Kaala Patthar,Hindi,7.7,2 h 51 min,1979,All,Movie
Dashavathara,Kannada,6.4,2 h 54 min,1960,NR,Movie
Mighty Raju - Time Travel,Hindi,None,1 h 4 min,2019,All,Movie
Shirdi Sai,Telugu,6.8,2 h 22 min,2012,All,Movie
Jodi,Telugu,6.2,2 h 13 min,2019,All,Movie
Rakta Charitra,Hindi,7.6,1 h 47 min,2010,13+,Movie
Nallavanukku Nallavan,Tamil,6.9,2 h 37 min,1984,All,Movie
Peechha Karro,Hindi,6.5,1 h 54 min,1986,All,Movie
"Crazy, Stupid, Love.",English,7.4,1 h 57 min,2011,13+,Movie
The Founder,English,7.2,1 h 55 min,2016,16+,Movie
Dunkirk,English,7.8,1 h 46 min,2017,16+,Movie
Ariyaathe,Malayalam,None,1 h 30 min,1998,NR,Movie
"King of Comedy, The",English,7.8,1 h 48 min,1983,7+,Movie
Operation Red Sea,Telugu,6.7,2 h 11 min,2018,18+,Movie
Soorarai Pottru (Malayalam),Malayalam,8.6,2 h 29 min,2020,16+,Movie
Gunday,Hindi,2.4,2 h 32 min,2014,13+,Movie
Dhanni Meye,Bengali,None,2 h 12 min,2017,13+,Movie
Himmatvar,Hindi,5.3,2 h 29 min,1996,NR,Movie
Ashiqui Not Allowed,Punjabi,5.6,2 h 6 mins,2013,13+,Movie
Gharer Bou,Bengali,None,2 h 1 min,1990,NR,Movie
Tera Mera Ki Rishta,Punjabi,7,2 h 46 mins,2009,NR,Movie
Fakta Saatvi Pass,Marathi,None,2 h 5 mins,2012,All,Movie
Bandhana,Kannada,7.4,2 h 19 min,1984,NR,Movie
Jukti Takko Aar Gappo,Bengali,None,1 h 53 min,2017,13+,Movie
Ee Kanni Koodi,Malayalam,7.3,2 h 18 min,1990,NR,Movie
Tweepee in Turkey,Gujarati,None,1 h 18 min,2017,All,Movie
Parole,Malayalam,5.3,2 h 26 min,2018,All,Movie
Batman v Superman: Dawn of Justice,Tamil,6.4,2 h 31 min,2016,13+,Movie
No.1 Mr. Perfect,Hindi,7.1,2h,2013,All,Movie
The Hangover Part II,English,6.5,1 h 41 min,2011,18+,Movie
Shaan,Hindi,7.1,2 h 46 min,1980,All,Movie
College Of Sex,Tamil,3,51min,1988,NR,Movie
Mutton Sukka,Bengali,None,4min,2020,13+,Movie
The Chamber,English,6,27min,2020,13+,Movie
Raja Babu,Hindi,6.3,2 h 24 min,1994,All,Movie
Qatil Haseeno Ka,Hindi,3.5,1 h 53 min,2001,NR,Movie
Dahavi Fa,Marathi,7.8,2 h 23 mins,2002,All,Movie
Piprabidya,Bengali,6.2,1 h 31 min,2020,13+,Movie
Norm Of The North,Tamil,3.4,1 h 26 min,2016,7+,Movie
Message in a Plastic Bottle,English,None,22min,2020,13+,Movie
Magic Lamp,Malayalam,2.4,1 h 47 min,2008,NR,Movie
A Beautiful Mind,English,8.2,2 h 15 min,2001,13+,Movie
The Passage,English,7.3,1 h 29 min,2011,NR,Movie
Jai Sriram,Telugu,5.4,2h,2013,NR,Movie
Vinara Sodara Veera Kumara,Tamil,7.4,2 h 25 min,2019,13+,Movie
Knock Knock,Hindi,4.9,1 h 39 min,2015,18+,Movie
Naach Nagini Naach Re,Bengali,5.7,2 h 37 min,1996,NR,Movie
Minister Fatakesto,Bengali,None,2 h 16 min,2017,13+,Movie
A Aa E Ee,Tamil,5.9,2 h 18 min,2009,All,Movie
Damini,Hindi,7.8,2 h 30 min,1993,All,Movie
The Bath Song & More Kids Songs - Super Simple Songs,English,8.4,41min,2017,All,Movie
Loving Pablo,English,6.3,2 h 3 min,2018,18+,Movie
Kerala House Udan Vilpanakku,Malayalam,3.8,2 h 1 min,2004,NR,Movie
Beauty and the Beast,Telugu,6.4,1 h 53 min,2016,7+,Movie
Malibu Shark Attack,Bengali,3.2,1 h 26 min,2009,18+,Movie
Love & Other Drugs,English,6.7,1 h 52 min,2010,18+,Movie
Hello Brother,Telugu,4.7,2 h 38 min,1994,All,Movie
Ajintha,Marathi,5.7,2 h 10 mins,2012,All,Movie
Fight Club,English,8.8,43min,2020,13+,Movie
Poorna,Hindi,7.8,1 h 39 min,2017,All,Movie
Masti,Hindi,6.2,2 h 32 min,2004,18+,Movie
After Earth,English,4.8,1 h 39 min,2013,13+,Movie
Overcomer,Telugu,6.7,1 h 59 min,2019,7+,Movie
Sardari Begum,Hindi,6.6,1 h 56 min,1996,13+,Movie
Lakhon Mein Ek,Hindi,7,2 h 35 min,1971,All,Movie
Modati Anubhavam,Telugu,None,47min,1992,NR,Movie
Killers,English,5.5,1 h 40 min,2010,13+,Movie
Bhoomi,Hindi,5.3,2 h 13 min,2017,13+,Movie
Maa Tujhhe Salaam,Hindi,3.5,2 h 42 min,2002,13+,Movie
Universal Soldier: Regeneration,English,5.2,1 h 36 min,2010,18+,Movie
C/O Kancharapalem,Telugu,9,2 h 26 min,2018,13+,Movie
Sankranthi,Kannada,6.3,2 h 10 min,1989,NR,Movie
The Bone Snatcher,English,4.4,1 h 30 min,2003,18+,Movie
Mission: Impossible,English,7.1,1 h 50 min,1996,7+,Movie
Yuvaraju,Telugu,5.7,2 h 45 min,2000,All,Movie
"Ek Nirnay- Swatahcha, Swatahsathi.",Marathi,6.5,2 h 20 mins,2019,All,Movie
Passport,Gujarati,5.8,2 h 2 min,2016,All,Movie
Sex and the City: The Movie,English,5.6,2 h 25 min,2008,18+,Movie
The Raid 2,Telugu,8,2 h 24 min,2014,18+,Movie
Naan Kadavul,Tamil,7.8,2 h 14 min,2009,18+,Movie
Ek Chiltey Sindoor,Bengali,None,2 h 22 min,2004,NR,Movie
Roga Howar Sahoj Upay,Bengali,None,2 h 1 min,2017,13+,Movie
Thana Thekey Ashchi,Bengali,None,1 h 37 min,None,NR,Movie
Shubha Milana,Kannada,None,2 h 16 min,1987,NR,Movie
7500,English,6.3,1 h 32 min,2020,16+,Movie
Dushmun,Hindi,7.1,2 h 46 min,1972,NR,Movie
Gafur,Hindi,None,11min,2018,All,Movie
Cube,English,7.2,1 h 30 min,1998,18+,Movie
Kuruvi,Tamil,3.7,2 h 41 min,2008,13+,Movie
Ab Aayega Maza,Hindi,None,2 h 8 min,1984,All,Movie
Via Dolorosa,English,7.5,26min,2020,13+,Movie
Yamagola,Telugu,6.7,2 h 29 min,1977,NR,Movie
"Standing Up, Falling Down",English,6.5,1 h 31 min,2020,18+,Movie
Ponniyin Selvan,Tamil,4.8,2 h 16 min,2005,All,Movie
Terminal,English,5.4,1 h 28 min,2018,18+,Movie
Uthama Puthiran,Tamil,7.4,2 h 24 min,1958,NR,Movie
Ishq Wala Love,Marathi,5.8,1 h 57 mins,2014,All,Movie
Thaai Veedu,Tamil,7.4,2 h 18 min,1983,All,Movie
Amar Adorer Bon,Bengali,None,2 h 15 min,2017,13+,Movie
Natoker Moto,Bengali,None,2h,2015,NR,Movie
Munthiri Monchan,Malayalam,8,2 h 3 min,2019,All,Movie
Beiimaan Love,Tamil,2.8,1 h 55 min,2016,18+,Movie
Kandhan Karunai,Tamil,7.1,2 h 23 min,1976,NR,Movie
Aarakshan,Hindi,6.2,2 h 38 min,2011,13+,Movie
Anand Ashram,Hindi,7.2,2 h 7 min,1977,All,Movie
Ab aani Cd,Marathi,6.6,1 h 58 mins,2020,All,Movie
Saaho (Tamil),Tamil,5.2,2 h 49 min,2019,13+,Movie
Bibhas,Bengali,6.4,2 h 7 min,2017,13+,Movie
Fired,Hindi,4.4,1 h 23 min,2010,18+,Movie
Out Of The Furnace,English,None,1 h 57 min,2013,18+,Movie
Rustom Kaun,Hindi,6.2,2 h 11 min,None,NR,Movie
Darshakudu,Telugu,None,2 h 9 min,2017,All,Movie
Ichchhemotir Gappo,Bengali,6.4,2 h 11 min,2015,18+,Movie
Loafer - Bengali,Bengali,None,2 h 35 min,1997,NR,Movie
Pugazh,Tamil,5.5,2h,2016,All,Movie
Rajbansha,Bengali,None,1 h 54 min,1977,NR,Movie
Cappuccino,Malayalam,3.7,2 h 10 min,2017,All,Movie
Kanmani Raja,Tamil,None,2 h 21 min,1974,NR,Movie
Action 3D,Telugu,5.2,2 h 32 min,2013,18+,Movie
Shala,Marathi,8.2,1 h 44 mins,2012,All,Movie
Terror,Telugu,7,2 h 20 min,2016,13+,Movie
Haan Maine Bhi Pyar Kiya,Hindi,3.7,2 h 47 min,2002,All,Movie
"I, Frankenstein",English,5.1,1 h 32 min,2014,13+,Movie
Kadhal FM,Tamil,None,2 h 5 min,2002,13+,Movie
Sye Raa Narasimha Reddy (Tamil),Tamil,7.4,2 h 49 min,2019,13+,Movie
God Children,English,None,56min,2020,13+,Movie
Viyyalavari Kayyalu,Telugu,4.9,2 h 30 min,2007,13+,Movie
Vinara Sodara Veera Kumara,Malayalam,7.4,2 h 25 min,2019,13+,Movie
Aftershock,English,4.8,1 h 32 min,1990,18+,Movie
New Jerusalem,English,6.3,1 h 32 min,2011,NR,Movie
Hello Leo,Hindi,None,1 h 2 min,2016,7+,Movie
Suryavanshi,Hindi,4.5,2 h 42 min,1992,13+,Movie
Love Ke Liye Kuch Bhi Karega,Hindi,6,2 h 10 min,2001,All,Movie
Bal Ganesh and PomZom Planet (Telugu),Telugu,None,1 h 19 min,2017,All,Movie
Kakkakuyil,Malayalam,6.3,2 h 54 min,2001,All,Movie
Tui Je Aamar,Bengali,None,2 h 21 min,2018,13+,Movie
Selfie from Hell,English,3,1 h 15 min,2018,18+,Movie
Nee Kosam,Telugu,6.4,2 h 2 min,1999,NR,Movie
Singham Returns,Hindi,5.7,2 h 19 min,2014,NR,Movie
Shudhu Tomari Jonyo,Bengali,6.7,2 h 28 min,2017,13+,Movie
Halunda Tavaru,Kannada,7.6,2 h 21 min,1994,NR,Movie
Dennis the Menace: The Mitchell's Move,English,None,1 h 5 min,1987,7+,Movie
Lajjaavathi,Malayalam,None,1 h 58 min,1979,NR,Movie
Amra Amar Premee,Bengali,8.7,2 h 8 min,2013,13+,Movie
Khurchi Samrat,Marathi,None,2 h 9 mins,2010,13+,Movie
Brazil,English,7.9,2 h 22 min,1985,18+,Movie
Kony,Bengali,7.4,1 h 59 min,1986,All,Movie
Dakuaan Da Munda,Punjabi,7.9,2 h 20 mins,2018,13+,Movie
Antham,Telugu,4.8,1 h 45 min,2016,18+,Movie
Isi Life Mein,Hindi,5.5,2 h 18 min,2010,All,Movie
Meelo Evaru Koteswarudu,Telugu,5.9,2 h 4 min,2016,13+,Movie
Train To Busan,Telugu,7.6,1 h 53 min,2016,18+,Movie
Kadga,Kannada,None,2 h 7 min,1991,NR,Movie
Thalattu Ketkuthamma,Tamil,None,2 h 31 min,1991,13+,Movie
Barkhaa,Hindi,5.1,2 h 3 min,2015,18+,Movie
Adrift,Tamil,6.6,1 h 32 min,2018,16+,Movie
Bohemian Rhapsody,English,8,2 h 14 min,2018,13+,Movie
After Earth,Hindi,4.8,1 h 39 min,2013,13+,Movie
Romeo,Bengali,None,2 h 36 min,2017,13+,Movie
Yaar Annmulle 2,Punjabi,5.3,1 h 58 mins,2017,13+,Movie
Mogudu,Telugu,7.3,2 h 38 min,2011,13+,Movie
Son Of Sardaar,Hindi,4,2 h 20 min,2012,NR,Movie
Guilty By Suspicion,English,6.5,1 h 44 min,1991,16+,Movie
Baddi Bangaramma,Kannada,None,2 h 21 min,1984,NR,Movie
The Expendables 3,Telugu,6.1,2 h 1 min,2014,16+,Movie
24 Hours,Telugu,8.3,1 h 19 min,2004,NR,Movie
Thattathin Marayathu,Malayalam,7.4,2 h 6 min,2012,All,Movie
Katheyondu Shuruvagide,Kannada,7.4,2 h 12 min,2018,13+,Movie
Silence (Tamil),Tamil,3.8,2 h 6 min,2020,16+,Movie
Nandini Nursing Home,Telugu,7.3,2 h 30 min,2016,13+,Movie
Lara Croft: Tomb Raider,Telugu,5.8,1 h 40 min,2001,18+,Movie
Satta,Hindi,6.8,2 h 28 min,2003,18+,Movie
Mr. Mangoos,Malayalam,None,39min,2014,NR,Movie
The Good Liar,English,6.6,1 h 49 min,2019,18+,Movie
Kankal,Bengali,6.8,1 h 54 min,None,NR,Movie
Ottakoru Kaamukan,Malayalam,6.4,2 h 23 min,2018,All,Movie
Ajob Prem Ebong,Bengali,None,2 h 8 min,2020,13+,Movie
Gudgudee,Hindi,4.2,2 h 18 min,1997,13+,Movie
Burning Mountains,English,None,21min,2020,13+,Movie
Lord Livingstone 7000 Kandi,Malayalam,5.4,2 h 11 min,2015,All,Movie
Bitter Moon,English,7.2,2 h 19 min,1994,18+,Movie
Aa Oru Nismisham,Malayalam,None,1 h 50 min,2001,NR,Movie
Life Is Beautiful,Malayalam,8.6,2 h 21 min,2000,All,Movie
Gandikota Rahasyam,Telugu,7.5,2 h 53 min,None,NR,Movie
Deep Jale Jai,Bengali,None,2h,None,NR,Movie
Shoot At Sight Utharvu,Telugu,6.3,1 h 48 min,2020,13+,Movie
Amar Prithibi,Bengali,None,2 h 1 min,1985,NR,Movie
Nirnayam,Malayalam,7.1,2 h 46 min,1994,All,Movie
Kar Lo Timepass Yaar!,Hindi,None,2 h 8 min,2015,NR,Movie
Lal Pathar,Bengali,7.8,2 h 11 min,2017,13+,Movie
Jeevana Taranga,Kannada,7.4,2 h 16 min,1963,NR,Movie
Fantastic Beasts and Where to Find Them,English,7.3,2 h 12 min,2016,13+,Movie
Ca$h,English,6,1 h 48 min,2010,18+,Movie
Aaghaaz,Hindi,4.1,2 h 32 min,2000,All,Movie
Air Hostess,Malayalam,5.2,2 h 21 min,1980,NR,Movie
Bajatey Raho,Hindi,5.3,1 h 45 min,2013,NR,Movie
The Perfect Girl,Hindi,5.8,1 h 30 min,2015,NR,Movie
Ti Ratra,Marathi,4.8,2 h 14 mins,2010,13+,Movie
Stuart Little,Telugu,5.9,1 h 24 min,1999,All,Movie
Bastu Shaap,Bengali,6.6,2 h 9 min,2018,13+,Movie
Sixer,Tamil,5.8,2 h 8 min,2019,All,Movie
Autopilot,English,None,13min,2009,NR,Movie
Gundamma Katha,Telugu,8.7,2 h 47 min,None,All,Movie
Bhanumathi Gari Mogudu,Telugu,None,2 h 25 min,1987,NR,Movie
Jumanji,English,7,1 h 44 min,1995,7+,Movie
Honeymoon,Bengali,5.3,2h,2018,All,Movie
Chadar: The Ice Trail,English,None,52min,2019,13+,Movie
Kadaikutty Singam,Tamil,6.9,2 h 27 min,2018,All,Movie
Karam,Hindi,5.5,1 h 56 min,2005,18+,Movie
Masti,Kannada,6.2,2 h 36 min,2007,All,Movie
Panjaram,Telugu,None,2 h 18 min,1997,NR,Movie
Aadi Purana,Kannada,7,2 h 19 min,2018,18+,Movie
Ammakkilikoodu,Malayalam,5.3,2 h 18 min,2003,NR,Movie
Naa Love Story,Telugu,None,2 h 11 min,2018,13+,Movie
Pelli Chesi Choodu,Telugu,8.3,2 h 24 min,None,All,Movie
Avalude Raavuka,Malayalam,6.7,1 h 52 min,1978,NR,Movie
Vismayam,Malayalam,7.7,2 h 24 min,2016,All,Movie
S3 (Telugu),Telugu,6.2,2 h 30 min,2018,All,Movie
Mantra,Telugu,6.7,2 h 13 min,2007,18+,Movie
Gate 2 Gether,Bengali,None,1 h 58 min,2017,13+,Movie
TD Dasan Std VIB,Malayalam,7.3,1 h 36 min,2010,All,Movie
Trance,Malayalam,7.3,2 h 48 min,2020,13+,Movie
The Courier,Telugu,4.8,1 h 39 min,2019,18+,Movie
Varasatvam,Telugu,None,2 h 1 min,None,NR,Movie
Aagadu,Telugu,5.4,2 h 41 min,2014,13+,Movie
Office #thebrightesthorrorfilm,Hindi,5.4,1 h 36 min,2017,NR,Movie
Pullukattu Muthamma,Tamil,None,1 h 34 min,2013,NR,Movie
Kati Patang,Hindi,7.2,2 h 28 min,None,All,Movie
Yuddha Kanda,Kannada,None,2 h 26 min,1989,NR,Movie
Chaani,Marathi,7.9,2 h 4 mins,1976,All,Movie
Jaddi Sardar,Punjabi,6.2,2 h 29 mins,2019,All,Movie
Constantine,English,7,2h,2005,18+,Movie
Blackmail,Bengali,None,2 h 8 min,2013,18+,Movie
Hello Yama,Kannada,None,2 h 8 min,1998,NR,Movie
Anaganaga O Premakatha,Telugu,5.5,2 h 5 min,2018,All,Movie
Ghatothkach 2,Hindi,6.7,1 h 12 min,2013,All,Movie
Naag Panchami,Hindi,5.6,2 h 18 min,1971,All,Movie
Ashite Ashiona,Bengali,None,1 h 35 min,2017,13+,Movie
Top Cat (Telugu),Telugu,4.6,1 h 26 min,2012,All,Movie
Nagar Kirtan,Bengali,None,1 h 53 min,2020,13+,Movie
Sheshnaag,Hindi,4.5,2 h 24 min,1990,NR,Movie
Oru Nalla Naal Paathu Sollrean,Tamil,6.2,2 h 26 min,2018,All,Movie
Parashuram,Bengali,7.4,1 h 32 min,1980,All,Movie
Afternoon Delight,English,5.7,1 h 37 min,2013,18+,Movie
Muthu,Tamil,7.6,2 h 38 min,1995,All,Movie
Hulla,Hindi,6.4,1 h 50 min,2008,13+,Movie
Boys,Tamil,7.2,2 h 50 min,2003,13+,Movie
Unishe April,Bengali,7.7,2 h 13 min,2017,13+,Movie
Ammachi Yemba Nenapu,Kannada,7.8,2 h 11 min,2018,13+,Movie
American Hustle,English,7.2,2 h 17 min,2013,18+,Movie
Rama Krishna,Kannada,5.4,2 h 26 min,2004,NR,Movie
Silsila,Hindi,7.3,3h,1981,7+,Movie
The Expendables,Tamil,6.5,1 h 39 min,2010,18+,Movie
Dhira (Tamil),Tamil,5.7,1 h 57 min,2020,7+,Movie
Dhating Dhingana,Marathi,5.8,2 h 10 mins,2013,All,Movie
Samasarada Guttu,Kannada,None,2 h 6 min,1986,NR,Movie
Kong: Skull Island,Tamil,6.6,1 h 58 min,2017,16+,Movie
Battle Drone,Hindi,5.2,1 h 29 min,2018,16+,Movie
Thoovanathumbikal,Malayalam,8.6,2 h 33 min,1987,18+,Movie
Vaanam Kottattum,Tamil,6.3,1 h 58 min,2020,All,Movie
Sooryavansham,Hindi,6.3,2 h 49 min,1999,All,Movie
Aagaman,Bengali,None,2 h 27 min,1988,NR,Movie
Top Cat (Gujarati),Gujarati,None,1 h 26 min,2012,All,Movie
Transformers: Dark of the Moon,Tamil,6.2,2 h 34 min,2011,13+,Movie
Poly Life,English,None,47min,2020,13+,Movie
Golemale Pirit Koro Na,Bengali,5.3,2 h 4 min,2017,13+,Movie
Raj Rajwan,Gujarati,None,2 h 29 min,1994,All,Movie
Metropolitan,English,7.4,1 h 34 min,1990,16+,Movie
Bandhu,Bengali,6.5,2 h 10 min,2018,13+,Movie
Commando 2: The Black Money Trail,Hindi,5.3,2 h 2 min,2017,13+,Movie
Kitaab,Hindi,7.5,2 h 4 min,1977,NR,Movie
The Gambinos,Malayalam,7.4,2 h 2 min,2019,13+,Movie
Ninnu Thalachi,Telugu,6.3,2 h 18 min,2019,All,Movie
Mouna Vizhigal,Tamil,None,2 h 19 min,2013,NR,Movie
Apsarasa,Telugu,None,2 h 6 min,2003,NR,Movie
Pokkiri - Vijay,Malayalam,None,2 h 35 min,2007,NR,Movie
Patthar Ke Sanam,Hindi,6.6,2 h 18 min,1978,All,Movie
Nakhuda,Hindi,6.5,1 h 57 min,1981,All,Movie
Dhira (English),English,5.7,1 h 57 min,2020,7+,Movie
The Gruffalo,Hindi,7.5,27min,2009,All,Movie
Shirshendur Diary,Bengali,None,2 h 10 min,2015,13+,Movie
Powered by Space: Reinventing Space Flight,English,None,50min,2015,7+,Movie
Maanagaram,Tamil,8.1,2 h 15 min,2017,13+,Movie
Rocketman,English,7.3,2 h 1 min,2019,18+,Movie
Titas Ekti Nadir Naam,Bengali,None,2 h 28 min,1973,13+,Movie
The Terminal,Hindi,7.4,2 h 8 min,2004,All,Movie
Dear Vs Bear,Hindi,6.4,2 h 5 min,2014,NR,Movie
Provoked: A True Story,English,6.6,1 h 53 min,2007,NR,Movie
Karulina Koogu,Kannada,7.3,2 h 12 min,1994,NR,Movie
Agent Sai Srinivasa Athreya,Telugu,8.4,2 h 24 min,2019,13+,Movie
The Kids Are all Right,English,7,1 h 46 min,2010,18+,Movie
Baaghi,Hindi,4.2,2 h 42 min,2000,13+,Movie
Sarasayya,Malayalam,None,2 h 28 min,1971,NR,Movie
Amma Na Koduku,Telugu,None,2 h 15 min,1998,NR,Movie
Malgudi Days,Kannada,6.5,2 h 32 min,2020,13+,Movie
Anari,Hindi,4.8,2 h 51 min,1993,All,Movie
Crazy Loka,Kannada,None,2 h 14 min,2012,NR,Movie
Chander Pahar,Bengali,6.4,2 h 30 min,2013,13+,Movie
Honey Boy,Tamil,7.3,1 h 34 min,2019,18+,Movie
Y,Malayalam,6.4,1 h 44 min,2017,All,Movie
Marilyn Monroe: Icon of Our Time,English,None,22min,2020,13+,Movie
Abohomaan,Bengali,7.4,2 h 3 min,2010,13+,Movie
This Boy's Life,English,7.3,1 h 54 min,1993,18+,Movie
Mission: Impossible III,Telugu,6.9,2 h 5 min,2006,13+,Movie
The Departed,English,8.5,2 h 31 min,2006,18+,Movie
Aa Neram Alppa Dooram,Malayalam,5.9,2 h 2 min,1985,NR,Movie
Kanni Thaai,Tamil,6.7,2 h 2 min,1965,NR,Movie
Rock the Kasbah,English,5.5,1 h 46 min,2015,16+,Movie
Huliya Haalina Mevu,Kannada,8.4,2 h 50 min,1979,NR,Movie
Saadaram,Malayalam,None,2 h 28 min,1995,NR,Movie
Radha Gopalam,Telugu,6.3,2 h 33 min,2005,NR,Movie
Dwaraka (Tamil),Tamil,4.9,2 h 3 min,2019,13+,Movie
The Conjuring (2013),Hindi,7.5,1 h 51 min,2013,18+,Movie
Mistake,Bengali,None,1 h 48 min,2017,13+,Movie
Shanginee,Bengali,None,2 h 10 min,1974,NR,Movie
Ondu Shikariya Kathe,Kannada,7,2 h 11 min,2020,13+,Movie
The Duff,English,6.5,1 h 36 min,2015,18+,Movie
Breathe,English,7.2,1 h 57 min,2017,16+,Movie
Sundaraniki Thondarekkuva,Telugu,None,2 h 37 min,2006,NR,Movie
Kalavani,Tamil,7.1,2 h 31 min,2010,All,Movie
Premachi Goshta,Marathi,7.3,2 h 7 mins,2013,All,Movie
Ribbon,Hindi,6.9,1 h 42 min,2017,16+,Movie
Majnu,Bengali,6.5,2 h 12 min,2017,13+,Movie
Ei Ghar Ei Sansar,Bengali,None,2 h 18 min,2019,13+,Movie
Django Unchained,English,8.4,2 h 45 min,2012,18+,Movie
Trijama,Bengali,6.6,2 h 4 min,None,NR,Movie
Sesh Kartabyo,Bengali,None,2 h 34 min,2020,13+,Movie
Bedazzled,English,6,1 h 33 min,2000,18+,Movie
Born To Race : Fast Track,Bengali,5.3,1 h 37 min,2014,16+,Movie
Down in Shadowland,English,6.3,1 h 9 min,2014,NR,Movie
Kashmir Ki Kali,Hindi,7.2,2 h 30 min,None,All,Movie
Scars: Politics in the Big Blue,English,None,1 h 4 min,2020,13+,Movie
Varalaru,Tamil,7.2,2 h 45 min,2006,13+,Movie
Asli Hero Kaun,Hindi,None,1h,2016,7+,Movie
Saheb,Bengali,None,2 h 1 min,1981,NR,Movie
Officer,Telugu,3.4,1 h 56 min,2018,13+,Movie
Uuf Kya Jaadoo Mohabbat Hai,Hindi,4.8,2 h 14 min,2004,All,Movie
Davpech,Marathi,6.7,2 h 5 mins,2010,All,Movie
Target Number One,Hindi,6.1,1 h 59 min,2020,18+,Movie
Baaram,Tamil,8,1 h 27 min,2020,18+,Movie
Gunturodu,Telugu,6.2,2 h 12 min,2017,13+,Movie
Anna,Telugu,6.6,2 h 16 min,1994,NR,Movie
Rakshasudu - 2005,Telugu,None,2 h 28 min,2005,NR,Movie
Chicken Pepper Soup,Bengali,None,3min,2020,13+,Movie
Aaya Toofan - Dara Singh,Hindi,None,2 h 8 min,None,NR,Movie
Charlie's Angels (2000),Hindi,5.5,1 h 38 min,2000,18+,Movie
LOCAS POR EL CAMBIO,English,4.8,1 h 34 min,2020,16+,Movie
Deedar - Dilip Kumar,Hindi,None,2 h 32 min,None,NR,Movie
Aanavakkari,Tamil,None,2 h 35 min,2013,NR,Movie
The Reluctant Revolutionary,English,7.6,1 h 10 min,2012,NR,Movie
Premikudu,Telugu,None,2 h 36 min,1994,NR,Movie
Cheluvina Chittara,Kannada,6.6,2 h 24 min,2007,NR,Movie
Happiness Continues: A Jonas Brothers Concert Film,English,7.4,1 h 44 min,2020,16+,Movie
Kaante,Hindi,6.6,2 h 25 min,2002,18+,Movie
Love and Other Impossible Pursuits,English,6.3,1 h 42 min,2010,18+,Movie
Union Leader,Hindi,7.2,1 h 41 min,2018,13+,Movie
Mumbai Taxi,Malayalam,3.2,1 h 43 min,2015,All,Movie
Deyyam,Telugu,6.4,1 h 36 min,1996,18+,Movie
Knight and Day,English,6.3,1 h 49 min,2010,13+,Movie
Dragons Of Camelot,Hindi,None,1 h 14 min,2014,NR,Movie
Mejo Bou,Bengali,5.5,2 h 9 min,1995,All,Movie
Rambo: First Blood Part II,English,6.5,1 h 35 min,1985,18+,Movie
Jamai 420,Bengali,4.5,2 h 17 min,2017,13+,Movie
Manjukalavum Kazhinju,Malayalam,None,2 h 4 min,1998,NR,Movie
Raatri,Telugu,7.1,2 h 6 min,1992,18+,Movie
Parineeta,Hindi,7.2,2 h 4 min,2005,13+,Movie
Battleship,English,5.8,2 h 11 min,2012,13+,Movie
Pattipulam,Tamil,5.4,1 h 43 min,2019,NR,Movie
Gat-Mat,Marathi,None,1 h 56 mins,2018,13+,Movie
Nirbaak,Bengali,6.4,1 h 49 min,2017,13+,Movie
Olavu Moodidaga,Kannada,None,2 h 22 min,1984,NR,Movie
Hawaizaada,Hindi,5.5,2 h 4 min,2015,All,Movie
L7 (Hindi),Hindi,4.6,1 h 46 min,2018,13+,Movie
Satyanweshi,Bengali,6,1 h 58 min,2017,13+,Movie
Katha Sangama,Kannada,7.5,2 h 14 min,1976,NR,Movie
Ki & Ka,Hindi,5.8,2 h 3 min,2016,NR,Movie
Aainaate,Bengali,None,1 h 53 min,2008,NR,Movie
Natsamrat,Marathi,9,2 h 45 mins,2015,All,Movie
Oru Kidayin Karunai Manu,Tamil,7.7,1 h 59 min,2017,NR,Movie
My Week With Marilyn,English,None,1 h 39 min,2011,16+,Movie
Valerian and the City of a Thousand Planets,Tamil,6.5,2 h 16 min,2017,16+,Movie
Pakdam Pakdai: Doggy Don In Egypt,Hindi,None,1 h 21 min,2020,All,Movie
Kanjirappally Kariachan,Malayalam,4.2,1 h 41 min,1996,NR,Movie
Only,Hindi,5.1,1 h 37 min,2020,18+,Movie
Oohakachavadam,Malayalam,7,2 h 23 min,1988,NR,Movie
Butifoool,Hindi,None,3min,2016,All,Movie
Baby On Board,English,4.2,1 h 34 min,2010,18+,Movie
Char Paise,Hindi,5.6,1 h 58 min,None,NR,Movie
Sathi Aamar,Bengali,None,2 h 14 min,2017,13+,Movie
Motu Patlu the Superheroes,Hindi,None,1 h 19 min,2020,All,Movie
Fande Poriya Boga Kande Re,Bengali,None,2 h 46 min,2017,13+,Movie
Sahaj Paather Gappo (Colours of Innocence),Bengali,8.4,1 h 21 min,2017,All,Movie
Elysium,English,6.6,1 h 49 min,2013,18+,Movie
Pappan Priyappetta Pappan,Malayalam,6.8,2 h 17 min,1986,NR,Movie
Prassthanam,Hindi,5.9,2 h 18 min,2019,13+,Movie
